FullName,sn,givenName,company,department,title,telephoneNumber,City,sAMAccountName,Password,Path
HelpDesk1,1,HelpDesk1,Gov.il,HelpDesk,HelpDesk User,11111111111,jerusalem,HelpDesk.1,q1w2e3!@#,"OU=HelpDesk,OU=Users,DC=gov,DC=il"
HelpDesk2,1,HelpDesk2,Gov.il,HelpDesk,HelpDesk User,11111111111,jerusalem,HelpDesk.2,q1w2e3!@#,"OU=HelpDesk,OU=Users,DC=gov,DC=il"
HelpDesk3,1,HelpDesk3,Gov.il,HelpDesk,HelpDesk User,11111111111,jerusalem,HelpDesk.3,q1w2e3!@#,"OU=HelpDesk,OU=Users,DC=gov,DC=il"
HelpDesk4,1,HelpDesk4,Gov.il,HelpDesk,HelpDesk User,11111111111,jerusalem,HelpDesk.4,q1w2e3!@#,"OU=HelpDesk,OU=Users,DC=gov,DC=il"
HelpDesk5,1,HelpDesk5,Gov.il,HelpDesk,HelpDesk User,11111111111,jerusalem,HelpDesk.5,q1w2e3!@#,"OU=HelpDesk,OU=Users,DC=gov,DC=il"
HelpDesk6,1,HelpDesk6,Gov.il,HelpDesk,HelpDesk User,11111111111,jerusalem,HelpDesk.6,q1w2e3!@#,"OU=HelpDesk,OU=Users,DC=gov,DC=il"
HelpDesk7,1,HelpDesk7,Gov.il,HelpDesk,HelpDesk User,11111111111,jerusalem,HelpDesk.7,q1w2e3!@#,"OU=HelpDesk,OU=Users,DC=gov,DC=il"
HelpDesk8,1,HelpDesk8,Gov.il,HelpDesk,HelpDesk User,11111111111,jerusalem,HelpDesk.8,q1w2e3!@#,"OU=HelpDesk,OU=Users,DC=gov,DC=il"
HelpDesk9,1,HelpDesk9,Gov.il,HelpDesk,HelpDesk User,11111111111,jerusalem,HelpDesk.9,q1w2e3!@#,"OU=HelpDesk,OU=Users,DC=gov,DC=il"
HelpDesk10,1,HelpDesk10,Gov.il,HelpDesk,HelpDesk User,11111111111,jerusalem,HelpDesk.10,q1w2e3!@#,"OU=HelpDesk,OU=Users,DC=gov,DC=il"
Management1,1,Management1,Gov.il,Management,Management User,11111111111,jerusalem,Management.1,q1w2e3!@#,"OU=Management,OU=Users,DC=gov,DC=il"
